gene,importance
CENPE,0.00270569584061637
CDC20,0.0027028278928455107
ART3,0.0026767994794647154
ANKRA2,0.0026765000772760467
ZWINT,0.0026642634085814578
FSCN1,0.0026303385465290246
ANXA9,0.002621862042363935
CXCL2,0.0026104872639400277
CHST3,0.0026051478107824754
UBE2S,0.0025979146166070373
CLCA2,0.0025810697755929697
PLA2G4A,0.0025099859312701046
ATP8B1,0.002508798564937433
PROS1,0.0025052009544745883
TSPAN1,0.002488437619763481
ESPL1,0.0024833147920390293
DBF4,0.002464548687238339
L3MBTL4,0.0024560553595690203
NPY1R,0.002434052841680986
CMBL,0.0024140133011139406
KDM4B,0.0023907789315483242
DLGAP5,0.0023808622869856116
NDRG2,0.0023806506565788653
SAR1B,0.002369594168880675
MAPT,0.002365055969303949
ERBB2,0.0023251843295553076
HMGB3,0.0023012705587441766
ACVR1B,0.0022669152709217304
CHEK1,0.0022529139480395614
PTX3,0.002250174586119714
HSD17B6,0.0022489485842620053
PREX1,0.0022438313024302765
RRM2,0.00222065417871077
TMCC2,0.0022046853360411693
CENPN,0.0021831224767231952
G6PD,0.002175781171796706
CA12,0.002171672453613836
TSPAN13,0.002170700393539624
BCL2,0.002143414482548581
GP2,0.0021311046180002118
TNS1,0.0021254769758912457
CDC14B,0.0021123507908524853
ORC6,0.0020342268912538143
FBP1,0.0020085901766573604
TIMELESS,0.0020049849925001307
SLC16A6,0.001996556564169611
KRT5,0.0019850296146181785
DEPDC1,0.001983466413799098
TFCP2L1,0.0019488739608524612
TGFBR2,0.001933588333478583
EVL,0.0019234293588312327
GRB7,0.0019160782937681497
REEP6,0.0018885232468079016
TFF1,0.0018815950897220204
TOP2A,0.0018802542808203974
CLDN19,0.001873550015642311
RGN,0.0018678796457114464
CLDN11,0.0018507244403156682
AURKB,0.001832415047654659
LRIG1,0.0018313168760842843
MKI67,0.001818877484489896
DONSON,0.0018184540487481454
ABCC8,0.0018149835475616612
PDK4,0.0017957348647899979
RAD51AP1,0.001785595609272339
PSAT1,0.001783943958430882
PCNA,0.0017836532030932862
ABAT,0.0017715897001987458
HSD17B2,0.001741185066448096
TRIP13,0.0017308180751746916
LIFR,0.0017237559944944642
CRYAB,0.0016997945209125823
DST,0.0016919452352331743
NCK2,0.0016877994100346378
BUB1B,0.0016490763957596735
CCNF,0.0016418799916267516
ACADSB,0.001634243988527132
PAK3,0.0016313720980798575
CDC45,0.0016160947324736922
KRT17,0.0016116771892084472
PRNP,0.001589020914519076
DSC3,0.0015417240148143416
STARD3,0.0015368309116291067
IGFBP6,0.00153642369150446
NUDT4,0.0015282361460501703
COL17A1,0.001522256913540611
KIF15,0.0015179275490700517
ABCA6,0.0015037912266945897
RABIF,0.0015005942247383083
TTK,0.0015002440856187163
GFRA1,0.0014874316663017809
ITGA9,0.001431359634801946
CTPS1,0.0014157034678720299
LPIN1,0.0014080656086242424
MAD2L1,0.0013947712553237868
CAV1,0.0013737266139768837
TCAP,0.0013736008901535884
LAD1,0.0013403534586575823
BBOX1,0.0013398901859164932
NAT1,0.0013279721228591018
ABCC2,0.001325185875232633
PNMT,0.0012876653530723451
GNMT,0.0012866896154653557
NUDT12,0.0012621887882523519
CDC6,0.0012536731927813357
RHOB,0.0012433273578683409
E2F2,0.0012397967152714125
CKS2,0.0012380861170110534
TP53INP2,0.0012380145157511425
F7,0.0012338034765215675
FFAR2,0.0012268175001607597
TCF19,0.0012266621753714096
EIF2AK1,0.0012181622446470655
MTHFD2,0.0012162587735062558
MET,0.0012064017668184893
KRT18,0.0012035019376496888
LIMA1,0.001187853187899731
NR3C1,0.001180323708327516
ABCA9,0.0011732508254119452
CYP39A1,0.001144759896560871
SNCA,0.0011378367623979652
FGF2,0.0011295749025483236
GSN,0.0011160180500407852
MMP7,0.00111254193503778
PLK4,0.001111860124825001
VAV3,0.0011099154797826279
DMD,0.0010913528386938102
HMMR,0.0010910961891583938
HDGF,0.0010879661051916424
TXNIP,0.0010816867165201144
TCF7L1,0.0010734639410996832
CIT,0.0010665210871814942
